"seller","day_of_week","income"
Michael O'Leary,Sunday   ,125981635
Michael O'Leary,Thursday ,130193803
Michael O'Leary,Tuesday  ,125258271
Michael O'Leary,Wednesday,134525041
Michel DeFrance,Friday   ,473980679
Michel DeFrance,Monday   ,479584921
Michel DeFrance,Saturday ,480574641
Michel DeFrance,Sunday   ,438321489
Michel DeFrance,Thursday ,481154817
Michel DeFrance,Tuesday  ,467420387
Michel DeFrance,Wednesday,439203901
Morningstar Greene,Friday   ,62929145
Morningstar Greene,Monday   ,67381291
Morningstar Greene,Saturday ,64598715
Morningstar Greene,Sunday   ,68473054
Morningstar Greene,Thursday ,61407062
Morningstar Greene,Tuesday  ,67737441
Morningstar Greene,Wednesday,64838804
Reginald Blotchet-Halls,Friday   ,96796982
Reginald Blotchet-Halls,Monday   ,103178571
Reginald Blotchet-Halls,Saturday ,92451664
Reginald Blotchet-Halls,Sunday   ,80496473
Reginald Blotchet-Halls,Thursday ,89971578
Reginald Blotchet-Halls,Tuesday  ,89298154
Reginald Blotchet-Halls,Wednesday,80548671
Sheryl Hunter,Friday   ,158669557
Sheryl Hunter,Monday   ,153301531
Sheryl Hunter,Saturday ,143802265
Sheryl Hunter,Sunday   ,148514539
Sheryl Hunter,Thursday ,148434253
Sheryl Hunter,Tuesday  ,163754751
Sheryl Hunter,Wednesday,140290965
Stearns MacFeather,Friday   ,28022436
Stearns MacFeather,Monday   ,30778276
Stearns MacFeather,Saturday ,27623848
Stearns MacFeather,Sunday   ,27431435
Stearns MacFeather,Thursday ,22585497
Stearns MacFeather,Tuesday  ,31056506
Stearns MacFeather,Wednesday,24953855
Sylvia Panteley,Friday   ,91390801
Sylvia Panteley,Monday   ,96399427
Sylvia Panteley,Saturday ,87097890
Sylvia Panteley,Sunday   ,95337213
Sylvia Panteley,Thursday ,91590683
Sylvia Panteley,Tuesday  ,99289901
Sylvia Panteley,Wednesday,85876351
